trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.7965307131,"{0: 15, 1: 5, 2: 6, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.7560339555,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.6575784721,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.5255292817,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,21,-59.7777974644,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.7095940234,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.1050699036,"{0: 13, 1: 4, 2: 3, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.6718942625,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.5645919364,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.7405706732,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.29602552,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.9299183521,"{0: 19, 1: 3, 2: 3, 3: 5, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.7054209341,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-177.6671213981,"{0: 24, 1: 4, 2: 2, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.365689266,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,9,-80.4932163762,"{0: 7, 1: 3, 2: 4, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.0318288839,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.6807285069,"{0: 15, 1: 6, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.4245322732,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.2921356634,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.7735010607,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
